,brand,ahri_num,zones,outdoor_model,indoor_model,hspf,in_pwr_5F_max,capacity_5F_max,in_pwr_47F_min,cop_5F_max,cop_17F_max,cop_47F_max
1212,Trane/Mitsubishi Electric,202102787,Single,MUZ-FH15NAH,MSZ-FH15NA,11.0,2.98,18300.0,0.61,1.799731738590604,1.7619153613095238,2.0859764394117644
1213,Trane/Mitsubishi Electric,202102788,Single,MUZ-FH18NA2,MSZ-FH18NA2,12.0,2.96,20300.0,0.43,2.01,2.12,2.59
1214,Trane/Mitsubishi Electric,202102789,Single,MUZ-FH18NAH2,MSZ-FH18NA,11.0,2.98,20900.0,0.85,2.0554313298657716,2.1007749265486724,2.6204001552941176
1215,Trane/Mitsubishi Electric,202102790,Single,MUZ-GL09NA-U1,MSZ-GL09NA-U1,12.8,0.85,8000.0,0.23,2.7583159529411763,2.8201178433962264,3.7278640104
1216,Trane/Mitsubishi Electric,202102791,Single,MUZ-GL12NA-U1,MSZ-GL12NA-U1,12.5,1.02,10200.0,0.11,2.9307106999999997,2.8361716451612904,3.2744360290123455
1217,Trane/Mitsubishi Electric,202102792,Single,MUZ-GL15NA-U1,MSZ-GL15NA-U1,11.7,1.57,14100.0,0.2,2.6320395458598727,2.39122664079602,3.0473559019900494
1218,Trane/Mitsubishi Electric,202102793,Single,MUZ-GL18NA-U1,MSZ-GL18NA-U1,11.2,1.88,15100.0,0.32,2.3539218920212766,2.480880685581395,2.9307107
1219,Trane/Mitsubishi Electric,202102794,Single,MUZ-GL24NA-U1,MSZ-GL24NA-U1,10.0,2.99,20200.0,0.52,1.979945021404682,2.191352073556231,2.9628280775342466
1220,Trane/Mitsubishi Electric,202102758,Multi,MXZ-2C20NA2,Non-Ducted Indoor Units,10.0,1.6,11100.0,0.67,2.033180548125,2.595772334285714,3.0441190570264767
1221,Trane/Mitsubishi Electric,202102761,Multi,MXZ-3C24NAHZ2,Non-Ducted Indoor Units,10.0,3.82,25000.0,0.93,1.92,2.06,4.25
1222,Trane/Mitsubishi Electric,202102763,Multi,MXZ-3C30NAHZ2,Non-Ducted Indoor Units,11.0,4.79,28600.0,0.93,1.75,2.0,4.0
1223,Trane/Mitsubishi Electric,202102765,Multi,MXZ-4C36NAHZ,Non-Ducted Indoor Units,11.3,5.46,45000.0,1.09,2.41,2.78,3.95
1224,Trane/Mitsubishi Electric,202102872,Multi,MXZ-4C36NAHZ,Mixed,10.7,6.21,45000.0,1.3,2.16,2.47,3.48
1225,Trane/Mitsubishi Electric,202102767,Multi,MXZ-5C42NAHZ,Non-Ducted Indoor Units,11.0,5.61,48000.0,1.17,2.51,2.89,4.1
1226,Trane/Mitsubishi Electric,202102770,Multi,MXZ-8C60NA-U*,Non-Ducted Indoor Units,10.5,8.1,57000.0,1.053,2.062351974074074,1.999960057742782,3.41140928042328
1227,Trane/Mitsubishi Electric,202102755,Multi,PUMY-P36NKMU*,Ducted indoor units,10.5,3.9,30000.0,0.671,2.254392846153846,2.573306956097561,3.599118403508772
